feature,importance
vol_63,3512.048803329468
vol_21,3471.991671562195
ret_lag7,991.0885391235352
ret_lag9,941.7039494514465
ret_lag1,940.093469619751
price_vs_sma50,900.6217503547668
mom_7,887.2187814712524
vol_7,886.1889584064484
ret_lag10,879.9756691455841
ret_lag4,852.4757475852966
ret_lag6,835.7536110877991
price_vs_sma7,804.070398569107
vma_21,800.9194686412811
ret_lag5,795.376059293747
ret_lag3,785.0180516242981
ret_lag2,765.4350018501282
vma_63,765.1863107681274
mom_21,764.895571231842
ret_lag8,690.0155687332153
price_vs_sma21,546.1132011413574
rsi_14,545.9550380706787
month,528.704918384552
day_of_week,408.762818813324
